frame_id,x,y,detected,x_smooth,y_smooth,dx,dy,speed_m_frame,dy_sign,hit,hitter
16,4.7555337,21.462086,True,4.746428108215332,21.603374862670897,0.06291942596435529,-1.1556591033935568,1.1573706482454458,-1.0,False,
17,4.808291,20.47364,True,4.80868501663208,20.54440040588379,0.06225690841674858,-1.0589744567871087,1.060802914199034,-1.0,False,
18,4.8648133,19.631363,True,4.866283702850342,19.628883361816406,0.057598686218261363,-0.9155170440673821,0.9173271317430585,-1.0,False,
19,4.9219217,18.72807,True,4.920889759063721,18.71772575378418,0.05460605621337944,-0.9111576080322266,0.9127924233089292,-1.0,False,
20,4.980859,17.849258,True,4.977220916748047,17.820703506469727,0.05633115768432617,-0.8970222473144531,0.8987892475453455,-1.0,False,
21,5.028564,16.906298,True,5.034692668914795,16.89510498046875,0.05747175216674805,-0.9255985260009751,0.9273810617175089,-1.0,False,
22,5.0899467,15.988529,True,5.089481830596924,16.045159339904785,0.05478916168212855,-0.8499456405639663,0.8517097182441453,-1.0,False,
23,5.152172,15.00337,True,5.143800830841064,15.264706230163574,0.05431900024414027,-0.7804531097412113,0.7823411086554574,-1.0,False,
24,5.1958675,14.478341,True,5.197462558746338,14.55542278289795,0.05366172790527379,-0.7092834472656246,0.7113104734268909,-1.0,False,
25,5.252454,13.946993,True,5.247930240631104,13.920677375793456,0.0504676818847658,-0.6347454071044929,0.6367485522206315,-1.0,False,
26,5.2968726,13.35988,True,5.297593498229981,13.362504959106445,0.04966325759887713,-0.558172416687011,0.560377449497703,-1.0,False,
27,5.342285,12.814802,True,5.347847175598145,12.797478294372558,0.050253677368163885,-0.5650266647338871,0.5672570527982213,-1.0,False,
28,5.4004884,12.212508,True,5.396485900878906,12.266817665100097,0.048638725280761186,-0.5306606292724609,0.532885005471895,-1.0,False,
29,5.447136,11.653208,True,5.443702983856201,11.82259407043457,0.0472170829772951,-0.44422359466552663,0.4467259282630088,-1.0,False,
30,5.4956474,11.29369,True,5.486769580841065,11.456289482116699,0.043066596984863814,-0.36630458831787216,0.368827579227181,-1.0,False,
31,5.532958,11.138762,True,5.523198890686035,11.189656066894532,0.03642930984497017,-0.26663341522216655,0.269110521401184,-1.0,False,
32,5.557618,10.983279,True,5.557875251770019,11.014051628112792,0.0346763610839842,-0.1756044387817397,0.17899544390256591,-1.0,False,
33,5.582635,10.879341,True,5.587878704071045,10.889467239379883,0.030003452301025746,-0.12458438873290945,0.12814631116787023,-1.0,False,
34,5.6205177,10.775186,True,5.615416526794434,10.764448738098144,0.027537822723388672,-0.12501850128173864,0.12801545743806436,-1.0,False,
35,5.6456647,10.670768,True,5.645650005340576,10.649526214599609,0.030233478546142223,-0.11492252349853516,0.11883286427698109,-1.0,False,
36,5.670647,10.51367,True,5.675950336456299,10.53433837890625,0.030300331115722834,-0.11518783569335866,0.11910645472619288,-1.0,False,
37,5.7087855,10.408667,True,5.703755950927734,10.418879890441895,0.02780561447143537,-0.11545848846435547,0.11875948279867087,-1.0,False,
38,5.7341366,10.303402,True,5.734177112579346,10.292560577392578,0.030421161651611683,-0.12631931304931676,0.12993081207121263,-1.0,False,
39,5.759546,10.197893,True,5.764713287353516,10.176436424255371,0.030536174774169922,-0.11612415313720703,0.12007196555263082,-1.0,False,
40,5.7977705,10.039171,True,5.795334053039551,10.060041999816894,0.030620765686035334,-0.11639442443847692,0.12035486417907418,-1.0,False,
41,5.823328,9.933049,True,5.826022911071777,9.943377113342285,0.030688858032226207,-0.11666488647460938,0.12063375043268625,-1.0,False,
42,5.8618894,9.8266945,True,5.85676326751709,9.815732955932617,0.030740356445313033,-0.1276441574096676,0.13129356585609556,-1.0,False,
43,5.887581,9.7200775,True,5.887623691558838,9.69838752746582,0.030860424041748047,-0.11734542846679652,0.12133554860012197,-1.0,False,
44,5.9132476,9.559672,True,5.91855297088623,9.580768203735351,0.030929279327391868,-0.11761932373046946,0.12161794947508696,-1.0,False,
45,5.9520726,9.452444,True,5.946962547302246,9.46287136077881,0.028409576416016158,-0.1178968429565419,0.1212714707227424,-1.0,False,
46,5.9779744,9.344953,True,5.978045463562012,9.33388023376465,0.031082916259765447,-0.12899112701416016,0.1326833016305925,-1.0,False,
